h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,label
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0.036364,0.96364,0,0,1,0,0,0,0,1,0,0,0
0,0,0.70717,0,0,96.221,0,0,3.0714,0,0,3.0714,0.70717,0,0,0,96.221,0,0,0,0,0,0,0.70717,0,0,0,96.221,0,3.0714,0,0,0,0,0,0,0.017241,0.98276,0,0,1,0,0,0,0,1,0,0,0
0,0,12.064,11.769,0,70.733,0,0,5.4346,0,0,8.103,4.4364,0,0,0,68.064,7.6274,0,0,0,11.769,0,4.4364,2.6684,0,0,70.733,0,5.4346,5.3368,4.959,6.4319,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,3.4642,8.4485,0,87.455,0,0,0.63232,0,0,3.2399,1.0541,0,0,0,81.417,7.4738,0,0,0,6.8151,0,1.0541,0.97408,0,0,87.455,0,0.63232,3.4955,1.4361,4.953,0.11364,0.22727,0.63636,0,0.022727,0,0,1,0,0,0,0,1,0,0,0
0,0,5.3463,12.614,0,80.257,0,0,1.7821,0,0,6.342,1.7821,0,0,0,78.475,3.5642,0,0,0,9.8367,0,1.7821,1.7821,0,0,80.257,0,1.7821,7.8427,1.7821,4.7718,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,99.209,0,0,0.79125,0,0,0.79125,0,0,0,0,99.209,0,0,0,0,0,0,0,0,0,0,99.209,0,0.79125,0,0,0,0.069767,0.4186,0.25581,0.093023,0.16279,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
